01.01.2023,Day-ahead Price,Currency,Year,Month,Day,Hour
22:00 - 23:00,121.31,EUR,2023,1,6,23
23:00 - 00:00,97.28,EUR,2023,1,6,24
00:00 - 01:00,98.16,EUR,2023,1,7,1
01:00 - 02:00,94.96,EUR,2023,1,7,2
02:00 - 03:00,83.86,EUR,2023,1,7,3
03:00 - 04:00,76.66,EUR,2023,1,7,4
04:00 - 05:00,69.88,EUR,2023,1,7,5
05:00 - 06:00,76.49,EUR,2023,1,7,6
06:00 - 07:00,92.53,EUR,2023,1,7,7
07:00 - 08:00,109.94,EUR,2023,1,7,8
08:00 - 09:00,112.87,EUR,2023,1,7,9
09:00 - 10:00,100.69,EUR,2023,1,7,10
10:00 - 11:00,88.32,EUR,2023,1,7,11
11:00 - 12:00,87.9,EUR,2023,1,7,12
12:00 - 13:00,74.29,EUR,2023,1,7,13
13:00 - 14:00,90,EUR,2023,1,7,14
14:00 - 15:00,86.9,EUR,2023,1,7,15
15:00 - 16:00,94.31,EUR,2023,1,7,16
16:00 - 17:00,98.32,EUR,2023,1,7,17
17:00 - 18:00,100.96,EUR,2023,1,7,18
18:00 - 19:00,96,EUR,2023,1,7,19
19:00 - 20:00,89.1,EUR,2023,1,7,20
20:00 - 21:00,62.98,EUR,2023,1,7,21
21:00 - 22:00,51.2,EUR,2023,1,7,22
22:00 - 23:00,38.79,EUR,2023,1,7,23
23:00 - 00:00,11.55,EUR,2023,1,7,24
00:00 - 01:00,9.07,EUR,2023,1,8,1
01:00 - 02:00,9.1,EUR,2023,1,8,2
02:00 - 03:00,3.46,EUR,2023,1,8,3
03:00 - 04:00,2.8,EUR,2023,1,8,4
04:00 - 05:00,5.08,EUR,2023,1,8,5
05:00 - 06:00,9.02,EUR,2023,1,8,6
06:00 - 07:00,16.47,EUR,2023,1,8,7
07:00 - 08:00,50.23,EUR,2023,1,8,8
08:00 - 09:00,83.02,EUR,2023,1,8,9
09:00 - 10:00,93.88,EUR,2023,1,8,10
10:00 - 11:00,103.87,EUR,2023,1,8,11
11:00 - 12:00,101.69,EUR,2023,1,8,12
12:00 - 13:00,99,EUR,2023,1,8,13
13:00 - 14:00,104.29,EUR,2023,1,8,14
14:00 - 15:00,103.33,EUR,2023,1,8,15
15:00 - 16:00,108.43,EUR,2023,1,8,16
16:00 - 17:00,118.72,EUR,2023,1,8,17
17:00 - 18:00,122.76,EUR,2023,1,8,18
18:00 - 19:00,109.44,EUR,2023,1,8,19
19:00 - 20:00,104.41,EUR,2023,1,8,20
20:00 - 21:00,98.65,EUR,2023,1,8,21
21:00 - 22:00,99.38,EUR,2023,1,8,22
22:00 - 23:00,81.34,EUR,2023,1,8,23
23:00 - 00:00,75.13,EUR,2023,1,8,24
00:00 - 01:00,64.38,EUR,2023,1,9,1
01:00 - 02:00,60.28,EUR,2023,1,9,2
02:00 - 03:00,39.41,EUR,2023,1,9,3
03:00 - 04:00,43.12,EUR,2023,1,9,4
04:00 - 05:00,69.07,EUR,2023,1,9,5
05:00 - 06:00,107.13,EUR,2023,1,9,6
06:00 - 07:00,160,EUR,2023,1,9,7
07:00 - 08:00,180,EUR,2023,1,9,8
08:00 - 09:00,177.16,EUR,2023,1,9,9
09:00 - 10:00,159.13,EUR,2023,1,9,10
10:00 - 11:00,160.78,EUR,2023,1,9,11
11:00 - 12:00,141,EUR,2023,1,9,12
12:00 - 13:00,142.07,EUR,2023,1,9,13
